timestamp,timestamp,light_power
2017-02-18 23:00:00,2017-02-18 23:00:00,0.0
2017-02-19 00:00:00,2017-02-19 00:00:00,0.0
2017-02-19 01:00:00,2017-02-19 01:00:00,0.0
2017-02-19 02:00:00,2017-02-19 02:00:00,0.0
2017-02-19 03:00:00,2017-02-19 03:00:00,0.0
2017-02-19 04:00:00,2017-02-19 04:00:00,0.0
2017-02-19 05:00:00,2017-02-19 05:00:00,0.0
2017-02-19 06:00:00,2017-02-19 06:00:00,0.0
2017-02-19 07:00:00,2017-02-19 07:00:00,0.0
2017-02-19 08:00:00,2017-02-19 08:00:00,0.0
2017-02-19 09:00:00,2017-02-19 09:00:00,0.0
2017-02-19 10:00:00,2017-02-19 10:00:00,33.1955360396
2017-02-19 11:00:00,2017-02-19 11:00:00,25.6260407147
2017-02-19 12:00:00,2017-02-19 12:00:00,37.4008571916
2017-02-19 13:00:00,2017-02-19 13:00:00,45.0377950472
2017-02-19 14:00:00,2017-02-19 14:00:00,48.4749693462
2017-02-19 15:00:00,2017-02-19 15:00:00,46.2203959828
2017-02-19 16:00:00,2017-02-19 16:00:00,39.4050896852
2017-02-19 17:00:00,2017-02-19 17:00:00,28.8362371148
2017-02-19 18:00:00,2017-02-19 18:00:00,25.5383429694
2017-02-19 19:00:00,2017-02-19 19:00:00,0.0
2017-02-19 20:00:00,2017-02-19 20:00:00,0.0
2017-02-19 21:00:00,2017-02-19 21:00:00,0.0
2017-02-19 22:00:00,2017-02-19 22:00:00,0.0
2017-02-19 23:00:00,2017-02-19 23:00:00,0.0
2017-02-20 00:00:00,2017-02-20 00:00:00,0.0
2017-02-20 01:00:00,2017-02-20 01:00:00,0.0
2017-02-20 02:00:00,2017-02-20 02:00:00,0.0
2017-02-20 03:00:00,2017-02-20 03:00:00,0.0
2017-02-20 04:00:00,2017-02-20 04:00:00,0.0
2017-02-20 05:00:00,2017-02-20 05:00:00,0.0
2017-02-20 06:00:00,2017-02-20 06:00:00,0.0
2017-02-20 07:00:00,2017-02-20 07:00:00,0.0
2017-02-20 08:00:00,2017-02-20 08:00:00,0.0
2017-02-20 09:00:00,2017-02-20 09:00:00,0.0
2017-02-20 10:00:00,2017-02-20 10:00:00,29.436677669
2017-02-20 11:00:00,2017-02-20 11:00:00,26.4077484128
2017-02-20 12:00:00,2017-02-20 12:00:00,37.9090812264
2017-02-20 13:00:00,2017-02-20 13:00:00,45.3926949408
2017-02-20 14:00:00,2017-02-20 14:00:00,48.7473048067
2017-02-20 15:00:00,2017-02-20 15:00:00,46.5336702269
2017-02-20 16:00:00,2017-02-20 16:00:00,39.846158377
2017-02-20 17:00:00,2017-02-20 17:00:00,29.4924633811
2017-02-20 18:00:00,2017-02-20 18:00:00,26.5267611699
2017-02-20 19:00:00,2017-02-20 19:00:00,0.0
2017-02-20 20:00:00,2017-02-20 20:00:00,0.0
2017-02-20 21:00:00,2017-02-20 21:00:00,0.0
2017-02-20 22:00:00,2017-02-20 22:00:00,0.0
2017-02-20 23:00:00,2017-02-20 23:00:00,0.0
2017-02-21 00:00:00,2017-02-21 00:00:00,0.0
2017-02-21 01:00:00,2017-02-21 01:00:00,0.0
2017-02-21 02:00:00,2017-02-21 02:00:00,0.0
2017-02-21 03:00:00,2017-02-21 03:00:00,0.0
2017-02-21 04:00:00,2017-02-21 04:00:00,0.0
2017-02-21 05:00:00,2017-02-21 05:00:00,0.0
2017-02-21 06:00:00,2017-02-21 06:00:00,0.0
2017-02-21 07:00:00,2017-02-21 07:00:00,0.0
2017-02-21 08:00:00,2017-02-21 08:00:00,0.0
2017-02-21 09:00:00,2017-02-21 09:00:00,0.0
2017-02-21 10:00:00,2017-02-21 10:00:00,30.5672891476
2017-02-21 11:00:00,2017-02-21 11:00:00,27.1802845394
2017-02-21 12:00:00,2017-02-21 12:00:00,38.4140999917
2017-02-21 13:00:00,2017-02-21 13:00:00,45.7462073323
2017-02-21 14:00:00,2017-02-21 14:00:00,49.019184276
2017-02-21 15:00:00,2017-02-21 15:00:00,46.8448832529
2017-02-21 16:00:00,2017-02-21 16:00:00,40.2826710722
2017-02-21 17:00:00,2017-02-21 17:00:00,30.1394226487
2017-02-21 18:00:00,2017-02-21 18:00:00,24.1873830683
2017-02-21 19:00:00,2017-02-21 19:00:00,0.0
2017-02-21 20:00:00,2017-02-21 20:00:00,0.0
2017-02-21 21:00:00,2017-02-21 21:00:00,0.0
2017-02-21 22:00:00,2017-02-21 22:00:00,0.0
2017-02-21 23:00:00,2017-02-21 23:00:00,0.0
2017-02-22 00:00:00,2017-02-22 00:00:00,0.0
2017-02-22 01:00:00,2017-02-22 01:00:00,0.0
2017-02-22 02:00:00,2017-02-22 02:00:00,0.0
2017-02-22 03:00:00,2017-02-22 03:00:00,0.0
2017-02-22 04:00:00,2017-02-22 04:00:00,0.0
2017-02-22 05:00:00,2017-02-22 05:00:00,0.0
2017-02-22 06:00:00,2017-02-22 06:00:00,0.0
2017-02-22 07:00:00,2017-02-22 07:00:00,0.0
2017-02-22 08:00:00,2017-02-22 08:00:00,0.0
2017-02-22 09:00:00,2017-02-22 09:00:00,0.0
2017-02-22 10:00:00,2017-02-22 10:00:00,27.5101441487
2017-02-22 11:00:00,2017-02-22 11:00:00,27.9436536806
2017-02-22 12:00:00,2017-02-22 12:00:00,38.9157706062
2017-02-22 13:00:00,2017-02-22 13:00:00,46.0982227243
2017-02-22 14:00:00,2017-02-22 14:00:00,49.2905444863
2017-02-22 15:00:00,2017-02-22 15:00:00,47.1540550336
2017-02-22 16:00:00,2017-02-22 16:00:00,40.7146948692
2017-02-22 17:00:00,2017-02-22 17:00:00,30.7773670984
2017-02-22 18:00:00,2017-02-22 18:00:00,25.1734316687
2017-02-22 19:00:00,2017-02-22 19:00:00,0.0
2017-02-22 20:00:00,2017-02-22 20:00:00,0.0
2017-02-22 21:00:00,2017-02-22 21:00:00,0.0
2017-02-22 22:00:00,2017-02-22 22:00:00,0.0
2017-02-22 23:00:00,2017-02-22 23:00:00,0.0
2017-02-23 00:00:00,2017-02-23 00:00:00,0.0
2017-02-23 01:00:00,2017-02-23 01:00:00,0.0
2017-02-23 02:00:00,2017-02-23 02:00:00,0.0
2017-02-23 03:00:00,2017-02-23 03:00:00,0.0
2017-02-23 04:00:00,2017-02-23 04:00:00,0.0
2017-02-23 05:00:00,2017-02-23 05:00:00,0.0
2017-02-23 06:00:00,2017-02-23 06:00:00,0.0
2017-02-23 07:00:00,2017-02-23 07:00:00,0.0
2017-02-23 08:00:00,2017-02-23 08:00:00,0.0
2017-02-23 09:00:00,2017-02-23 09:00:00,0.0
2017-02-23 10:00:00,2017-02-23 10:00:00,28.6427236859
2017-02-23 11:00:00,2017-02-23 11:00:00,28.697873043
2017-02-23 12:00:00,2017-02-23 12:00:00,39.4139637692
